year,polls_dem,polls_rep
1976,51.32686117110143,48.67313882889857
1980,51.43467643467644,48.56532356532356
1984,40.5453216374269,59.4546783625731
1988,44.22222222222222,55.77777777777778
1992,57.03106819124979,42.96893180875021
1996,59.09744657954892,40.90255342045108
2000,48.28751471106687,51.71248528893313
2004,48.754295532646054,51.245704467353946
2008,55.454543598409956,44.545456401590044
2012,50.20835594139989,49.79164405860011
2016,52.54077808560445,47.45922191439555
2020,54.52434707221038,45.47565292778962
